epoch,logcount_predictions_loss,logits_profile_predictions_loss,loss,val_logcount_predictions_loss,val_logits_profile_predictions_loss,val_loss
0,0.6763266921043396,153.98500061035156,157.8399200439453,0.5027214288711548,157.74913024902344,160.61468505859375
1,0.613961935043335,152.5753936767578,156.07508850097656,0.44828152656555176,157.3791961669922,159.93431091308594
2,0.5721354484558105,152.30892944335938,155.5696258544922,0.43478575348854065,157.33937072753906,159.81765747070312
3,0.5380856394767761,152.1459197998047,155.21286010742188,0.3896775543689728,157.1155242919922,159.33673095703125
4,0.5119010806083679,152.03799438476562,154.95578002929688,0.38549697399139404,157.0457763671875,159.24305725097656
5,0.4908064603805542,151.9602813720703,154.75767517089844,0.34658631682395935,157.00062561035156,158.97616577148438
6,0.4786640405654907,151.91168212890625,154.64012145996094,0.42582717537879944,157.0225372314453,159.44976806640625
7,0.4719119369983673,151.86529541015625,154.5552215576172,0.4917846620082855,157.00393676757812,159.80711364746094
8,0.46727389097213745,151.82861328125,154.4925079345703,0.3500814437866211,156.90576171875,158.9011688232422
9,0.46051138639450073,151.8052215576172,154.4301300048828,0.32214903831481934,156.91575622558594,158.75198364257812
10,0.45644548535346985,151.78013610839844,154.3821563720703,0.335618257522583,156.90016174316406,158.8130645751953
11,0.4504406750202179,151.75643920898438,154.3238525390625,0.33100831508636475,156.8588104248047,158.74545288085938
12,0.44722047448158264,151.742919921875,154.2921142578125,0.34581899642944336,156.86968994140625,158.84092712402344
13,0.4427117109298706,151.7333984375,154.25685119628906,0.3253523111343384,156.94854736328125,158.80308532714844
14,0.43674030900001526,151.728515625,154.21792602539062,0.31437981128692627,156.84669494628906,158.6387176513672
15,0.43391379714012146,151.70596313476562,154.1793670654297,0.32582464814186096,156.8842315673828,158.74147033691406
16,0.4307052791118622,151.6971893310547,154.15220642089844,0.32645970582962036,156.88499450683594,158.74575805664062
17,0.4251925051212311,151.6906280517578,154.11410522460938,0.3164384365081787,156.8712158203125,158.6749725341797
18,0.4225856065750122,151.6843719482422,154.09320068359375,0.3247193396091461,156.8803253173828,158.7312469482422
19,0.418562114238739,151.6763458251953,154.06207275390625,0.3137185573577881,156.90252685546875,158.69065856933594
